codec_family,codec,resolution,frame_rate,bitrate_Mbps,bitrate_MBps
ARRIRAW,ALEXA 35 4.6K OG,4.6K,23.98,4009.456,501.182
ARRIRAW,ALEXA 35 4.6K OG,4.6K,23.98,4012.8,501.6
ARRIRAW,ALEXA 35 4.6K OG,4.6K,29.97,5010.984,626.373
ARRIRAW,ALEXA 35 4.6K OG,4.6K,50.0,8360.0,1045.0
ARRIRAW,ALEXA 35 4.6K OG,4.6K,59.94,10021.968,1252.746
ARRIRAW,ALEXA 35 4K 16:9,4K,23.98,2436.368,304.546
ARRIRAW,ALEXA 35 4K 16:9,4K,23.98,2438.4,304.8
ARRIRAW,ALEXA 35 4K 16:9,4K,29.97,3044.952,380.619
ARRIRAW,ALEXA 35 4K 16:9,4K,50.0,5080.0,635.0
ARRIRAW,ALEXA 35 4K 16:9,4K,59.94,6089.904,761.238
ARRIRAW,ALEXA 65 6.5K,6.5K,23.98,5851.12,731.39
ARRIRAW,ALEXA 65 6.5K,6.5K,23.98,5856.0,732.0
ARRIRAW,ALEXA 65 6.5K,6.5K,29.97,7312.68,914.085
ARRIRAW,ALEXA 65 6.5K,6.5K,50.0,12200.0,1525.0
ARRIRAW,ALEXA 65 6.5K,6.5K,59.94,14625.36,1828.17
BRAW,12:1,HD,23.98,57.552,7.194
BRAW,12:1,HD,23.98,57.6,7.2
BRAW,12:1,HD,29.97,71.928,8.991
BRAW,12:1,HD,50.0,120.0,15.0
BRAW,12:1,HD,59.94,143.856,17.982
BRAW,12:1,UHD,23.98,209.825,26.228
BRAW,12:1,UHD,23.98,210.0,26.25
BRAW,12:1,UHD,29.97,262.238,32.78
BRAW,12:1,UHD,50.0,437.5,54.688
BRAW,12:1,UHD,59.94,524.475,65.559
BRAW,3:1,HD,23.98,211.024,26.378
BRAW,3:1,HD,23.98,211.2,26.4
BRAW,3:1,HD,29.97,263.736,32.967
BRAW,3:1,HD,50.0,440.0,55.0
BRAW,3:1,HD,59.94,527.472,65.934
BRAW,3:1,UHD,23.98,815.32,101.915
BRAW,3:1,UHD,23.98,816.0,102.0
BRAW,3:1,UHD,29.97,1018.98,127.373
BRAW,3:1,UHD,50.0,1700.0,212.5
BRAW,3:1,UHD,59.94,2037.96,254.745
BRAW,5:1,HD,23.98,127.893,15.987
BRAW,5:1,HD,23.98,128.0,16.0
BRAW,5:1,HD,29.97,159.84,19.98
BRAW,5:1,HD,50.0,266.667,33.333
BRAW,5:1,HD,59.94,319.68,39.96
BRAW,5:1,UHD,23.98,491.59,61.449
BRAW,5:1,UHD,23.98,492.0,61.5
BRAW,5:1,UHD,29.97,614.385,76.798
BRAW,5:1,UHD,50.0,1025.0,128.125
BRAW,5:1,UHD,59.94,1228.77,153.596
BRAW,8:1,HD,23.98,83.131,10.391
BRAW,8:1,HD,23.98,83.2,10.4
BRAW,8:1,HD,29.97,103.896,12.987
BRAW,8:1,HD,50.0,173.333,21.667
BRAW,8:1,HD,59.94,207.792,25.974
BRAW,8:1,UHD,23.98,311.74,38.968
BRAW,8:1,UHD,23.98,312.0,39.0
BRAW,8:1,UHD,29.97,389.61,48.701
BRAW,8:1,UHD,50.0,650.0,81.25
BRAW,8:1,UHD,59.94,779.22,97.403
DNxHD,100,HD,29.97,100.0,12.5
DNxHD,115,HD,23.98,116.0,14.5
DNxHD,115,HD,23.98,116.0,14.5
DNxHD,145,HD,29.97,145.0,18.125
DNxHD,175,HD,23.98,176.0,22.0
DNxHD,175,HD,23.98,176.0,22.0
DNxHD,175x,HD,23.98,176.0,22.0
DNxHD,175x,HD,23.98,176.0,22.0
DNxHD,220,HD,29.97,220.0,27.5
DNxHD,220x,HD,29.97,220.0,27.5
DNxHD,240,HD,50.0,242.0,30.25
DNxHD,290,HD,59.94,291.0,36.375
DNxHD,350x,HD,23.98,352.0,44.0
DNxHD,350x,HD,23.98,352.0,44.0
DNxHD,36,HD,23.98,36.0,4.5
DNxHD,36,HD,23.98,36.0,4.5
DNxHD,365,HD,50.0,367.0,45.875
DNxHD,365x,HD,50.0,367.0,45.875
DNxHD,440,HD,59.94,440.0,55.0
DNxHD,440x,HD,29.97,440.0,55.0
DNxHD,440x,HD,59.94,440.0,55.0
DNxHD,45,HD,29.97,45.0,5.625
DNxHD,75,HD,50.0,75.0,9.375
DNxHD,80,HD,23.98,80.0,10.0
DNxHD,80,HD,23.98,80.0,10.0
DNxHD,90,HD,59.94,90.0,11.25
DNxHR,444,4K DCI,23.98,1421.36,177.67
DNxHR,444,4K DCI,23.98,1421.36,177.67
DNxHR,444,4K DCI,29.97,1776.64,222.08
DNxHR,444,4K DCI,50.0,2964.031,370.504
DNxHR,444,4K DCI,59.94,3553.28,444.16
DNxHR,444,HD,23.98,333.44,41.68
DNxHR,444,HD,23.98,333.44,41.68
DNxHR,444,HD,29.97,416.8,52.1
DNxHR,444,HD,50.0,695.295,86.912
DNxHR,444,HD,59.94,833.52,104.19
DNxHR,444,UHD,23.98,1332.88,166.61
DNxHR,444,UHD,23.98,1332.88,166.61
DNxHR,444,UHD,29.97,1666.16,208.27
DNxHR,444,UHD,50.0,2779.713,347.464
DNxHR,444,UHD,59.94,3332.32,416.54
DNxHR,HQ,4K DCI,23.98,711.04,88.88
DNxHR,HQ,4K DCI,23.98,711.04,88.88
DNxHR,HQ,4K DCI,29.97,888.8,111.1
DNxHR,HQ,4K DCI,50.0,1482.816,185.352
DNxHR,HQ,4K DCI,59.94,1777.6,222.2
DNxHR,HQ,HD,23.98,166.32,20.79
DNxHR,HQ,HD,23.98,166.32,20.79
DNxHR,HQ,HD,29.97,207.92,25.99
DNxHR,HQ,HD,50.0,346.88,43.36
DNxHR,HQ,HD,59.94,415.84,51.98
DNxHR,HQ,UHD,23.98,666.08,83.26
DNxHR,HQ,UHD,23.98,666.08,83.26
DNxHR,HQ,UHD,29.97,832.64,104.08
DNxHR,HQ,UHD,50.0,1389.056,173.632
DNxHR,HQ,UHD,59.94,1665.2,208.15
DNxHR,HQX,4K DCI,23.98,711.04,88.88
DNxHR,HQX,4K DCI,23.98,711.04,88.88
DNxHR,HQX,4K DCI,29.97,888.8,111.1
DNxHR,HQX,4K DCI,50.0,1482.816,185.352
DNxHR,HQX,4K DCI,59.94,1777.6,222.2
DNxHR,HQX,HD,23.98,166.32,20.79
DNxHR,HQX,HD,23.98,166.32,20.79
DNxHR,HQX,HD,29.97,207.92,25.99
DNxHR,HQX,HD,50.0,346.88,43.36
DNxHR,HQX,HD,59.94,415.84,51.98
DNxHR,HQX,UHD,23.98,666.08,83.26
DNxHR,HQX,UHD,23.98,666.08,83.26
DNxHR,HQX,UHD,29.97,832.64,104.08
DNxHR,HQX,UHD,50.0,1389.056,173.632
DNxHR,HQX,UHD,59.94,1665.2,208.15
DNxHR,LB,4K DCI,23.98,146.08,18.26
DNxHR,LB,4K DCI,23.98,146.08,18.26
DNxHR,LB,4K DCI,29.97,182.64,22.83
DNxHR,LB,4K DCI,50.0,304.705,38.088
DNxHR,LB,4K DCI,59.94,365.28,45.66
DNxHR,LB,HD,23.98,34.48,4.31
DNxHR,LB,HD,23.98,34.48,4.31
DNxHR,LB,HD,29.97,43.12,5.39
DNxHR,LB,HD,50.0,71.872,8.984
DNxHR,LB,HD,59.94,86.16,10.77
DNxHR,LB,UHD,23.98,137.12,17.14
DNxHR,LB,UHD,23.98,137.12,17.14
DNxHR,LB,UHD,29.97,171.36,21.42
DNxHR,LB,UHD,50.0,285.953,35.744
DNxHR,LB,UHD,59.94,342.8,42.85
DNxHR,SQ,4K DCI,23.98,469.76,58.72
DNxHR,SQ,4K DCI,23.98,469.76,58.72
DNxHR,SQ,4K DCI,29.97,587.2,73.4
DNxHR,SQ,4K DCI,50.0,979.713,122.464
DNxHR,SQ,4K DCI,59.94,1174.48,146.81
DNxHR,SQ,HD,23.98,110.16,13.77
DNxHR,SQ,HD,23.98,110.16,13.77
DNxHR,SQ,HD,29.97,137.68,17.21
DNxHR,SQ,HD,50.0,229.696,28.712
DNxHR,SQ,HD,59.94,275.36,34.42
DNxHR,SQ,UHD,23.98,440.56,55.07
DNxHR,SQ,UHD,23.98,440.56,55.07
DNxHR,SQ,UHD,29.97,550.72,68.84
DNxHR,SQ,UHD,50.0,918.719,114.84
DNxHR,SQ,UHD,59.94,1101.36,137.67
ProRes,422,HD,23.98,117.62,14.702
ProRes,422,HD,23.98,117.718,14.715
ProRes,422,HD,29.97,147.0,18.375
ProRes,422,HD,50.0,245.245,30.656
ProRes,422,HD,59.94,294.0,36.75
ProRes,422,UHD,23.98,470.478,58.81
ProRes,422,UHD,23.98,470.871,58.859
ProRes,422,UHD,29.97,588.0,73.5
ProRes,422,UHD,50.0,980.981,122.623
ProRes,422,UHD,59.94,1176.0,147.0
ProRes,422 HQ,HD,23.98,176.029,22.004
ProRes,422 HQ,HD,23.98,176.176,22.022
ProRes,422 HQ,HD,29.97,220.0,27.5
ProRes,422 HQ,HD,50.0,367.034,45.879
ProRes,422 HQ,HD,59.94,440.0,55.0
ProRes,422 HQ,UHD,23.98,704.117,88.015
